,Unnamed: 0,Unnamed: 0.1,name,address,type,ranking,price,direccion,comunidad,street,street_2,coordinates
408,37,37,Arbonaida Bar,"Santiago 11, 28013 Madrid España",Mediterránea,#101 de 10.409 restaurantes en Madrid,€€ - €€€,Santiago 11 , Madrid España,Santiago 11,"Santiago 11, Madrid España","Santiago 11, Madrid España"
409,38,38,Socarratt Valencian Food,"Costanilla Capuchinos 5 San Marcos 3, Chueca, 28004 Madrid España",Mediterránea,#1.443 de 10.409 restaurantes en Madrid,€,Costanilla Capuchinos 5 San Marcos 3 Chueca , Madrid España,Costanilla Capuchinos 5 San Marcos 3,"Costanilla Capuchinos 5 San Marcos 3, Madrid España","Costanilla Capuchinos 5 San Marcos 3, Madrid España"
410,39,39,El Café de La Ópera,"Calle Arrieta N 6, 28013 Madrid España",Café,#1.729 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Arrieta N 6 , Madrid España,Calle Arrieta N 6,"Calle Arrieta N 6, Madrid España","(40.4186071, -3.7101181)"
411,40,40,La Cueva de 1900 - Montera,"Calle Montera, 13, 28013 Madrid España",Restaurante de carne,#2.282 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Montera 13 , Madrid España,Calle Montera 13,"Calle Montera 13, Madrid España","(40.4178329, -3.7028181)"
412,41,41,Taberna La Pompeyana,"Calle Alvarez Gato, 5, 28012 Madrid España",Bar,#1.508 de 10.409 restaurantes en Madrid,€,Calle Alvarez Gato 5 , Madrid España,Calle Alvarez Gato 5,"Calle Alvarez Gato 5, Madrid España","(40.4151447, -3.7023266)"
413,42,42,El anciano rey de los vinos,"Calle Bailén 19, 28013 Madrid España",Mediterránea,#549 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Bailén 19 , Madrid España,Calle Bailén 19,"Calle Bailén 19, Madrid España","(40.028851, -3.606505)"
414,43,43,Matteo Cucina Italiana,"Calle Ayala 28 Mercado de La Paz, 28001 Madrid España",Italiana,#1.021 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Ayala 28 Mercado de La Paz , Madrid España,Calle Ayala 28,"Calle Ayala 28, Madrid España","(40.42718735, -3.6857741915738558)"
415,44,44,Bar Cerveriz,"Plaza San Miguel 2 Frente al Mercado de San Miguel, 28005 Madrid España",Mediterránea,#674 de 10.409 restaurantes en Madrid,€,Plaza San Miguel 2 Frente al Mercado de San Miguel , Madrid España,Plaza San Miguel 2,"Plaza San Miguel 2, Madrid España","Plaza San Miguel 2, Madrid España"
416,45,45,La Taberna De Moncloa,"Calle Andrés Mellado, 45, 28015 Madrid España",Bar,#374 de 10.409 restaurantes en Madrid,€,Calle Andrés Mellado 45 , Madrid España,Calle Andrés Mellado 45,"Calle Andrés Mellado 45, Madrid España","Calle Andrés Mellado 45, Madrid España"
417,46,46,Taj,"Calle Marques de Cubas 6, 28014 Madrid España",India,#1.695 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Marques de Cubas 6 , Madrid España,Calle Marques de Cubas 6,"Calle Marques de Cubas 6, Madrid España","(40.3726506, -3.4808989)"
418,47,47,Periplo Café,"Calle de Modesto Lafuente, 4,, 28010 Madrid España",Postres,N.º 1 de 477 cafeterías y teterías en Madrid,€,Calle de Modesto Lafuente 4 , Madrid España,Calle de Modesto Lafuente 4,"Calle de Modesto Lafuente 4, Madrid España","(40.435829, -3.6962938)"
419,48,48,Vecchia Milano,"Calle Marques de Urquijo 21, 28008 Madrid España",Italiana,#1.398 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Marques de Urquijo 21 , Madrid España,Calle Marques de Urquijo 21,"Calle Marques de Urquijo 21, Madrid España","Calle Marques de Urquijo 21, Madrid España"
420,49,49,Naveira Do Mar,"Calle Santa Juliana 57, 28039 Madrid España",Marisco,#1.276 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Santa Juliana 57 , Madrid España,Calle Santa Juliana 57,"Calle Santa Juliana 57, Madrid España","(40.951306, -3.7940992)"
